artigo_id_unico;titulo_unico;consulta_nome;base;autores;ano;abstract;journal;tipo_documento2;url;volume;pages;ISSN_ISBN;DOI;Excluir-2revisores2
1011;A DISTANT SUPERVISION METHOD FOR PRODUCT ASPECT EXTRACTION FROM CUSTOMER REVIEWS;SCOPUS;SCOPUS;Bross, J.;2013;In this paper, we describe a distant supervision approach for the task of detecting product aspect mentions in customer reviews (e.g., in hotel reviews, we want to associate the aspect "sleep quality to a sentence such as We both slept like rocks.). Detecting such aspects represents an important subtask of aspect-oriented review mining systems, which aim at automatically generating structured summaries of customer opinions. The main advantage of the proposed method is that it allows for the high accuracy of a supervised approach and at the same time avoids the costs of manually labeling a training set. We show how to exploit the inherent structure of customer reviews to automatically gather large amounts of labeled data. Our experimental results show that the method achieves a performance as good as a traditional, fully supervised approach. Â© 2013 IEEE.;Proceedings - 2013 IEEE 7th International Conference on Semantic Computing, ICSC 2013;Conference Paper;http://www.scopus.com/inward/record.url?eid=2-s2.0-84893900885&partnerID=40&md5=acef4fda36066d5f94db6b2fb5e25470;NULO;339-346;10.1109/ICSC.2013.65;NULO;Incluir
1012;A FEATURE DEPENDENT METHOD FOR OPINION MINING AND CLASSIFICATION;SCOPUS;SCOPUS;Balahur, A. and Montoyo, A.;2008;Mining the web for customer opinion on different products is both a useful, as well as challenging task. Previous approaches to customer review classification included document level, sentence and clause level sentiment analysis and feature based opinion summarization. In this paper, we present a feature driven opinion summarization method, where the term --driven-- is employed to describe the concept-to-detail (product class to product-specific characteristics) approach we took. For each product class we first automatically extract general features (characteristics describing any product, such as price, size, design), for each product we then extract specific features (as picture resolution in the case of a digital camera) and feature attributes (adjectives grading the characteristics, as for example high or low for price, small or big for size and modern or faddy for design). Further on, we assign a polarity (positive or negative) to each of the feature attributes using a previously annotated corpus and Support Vector Machines Sequential Minimal Optimization[1] machine learning with the Normalized Google Distance[2]. We show how the method presented is employed to build a feature-driven opinion summarization system that is presently working in English and Spanish. In order to detect the product category, we use a modified system for person names classification. The raw review text is split into sentences and depending on the product class detected, only the phrases containing the specific product features are selected for further processing. The phrases extracted undergo a process of anaphora resolution, Named Entity Recognition and syntactic parsing. Applying syntactic dependency and part of speech patterns, we extract pairs containing the feature and the polarity of the feature attribute the customer associates to the feature in the review. Eventually, we statistically summarize the polarity of the opinions different customers expressed about the product on the web as percentages of positive and negative opinions about each of the product features. We show the results and improvements over baseline, together with a discussion on the strong and weak points of the method and the directions for future work. Â©2008 IEEE.;2008 International Conference on Natural Language Processing and Knowledge Engineering, NLP-KE 2008;Conference Paper;http://www.scopus.com/inward/record.url?eid=2-s2.0-67650345726&partnerID=40&md5=0b7bdc4727dfe34920a22ed380598817;NULO;NULO;10.1109/NLPKE.2008.4906796;NULO;Incluir
1013;A FEATURE SELECTION METHOD BASED ON FISHERS DISCRIMINANT RATIO FOR TEXT SENTIMENT CLASSIFICATION;SCOPUS;SCOPUS;Wang, S.a  c  and Li, D.b  c  and Wei, Y.d  and Li, H.a;2009;With the rapid growth of e-commerce, product reviews on the Web have become an important information source for customers decision making when they intend to buy some product. As the reviews are often too many for customers to go through, how to automatically classify them into different sentiment orientation categories (i.e. positive/negative) has become a research problem. In this paper, based on Fishers discriminant ratio, an effective feature selection method is proposed for product review text sentiment classification. In order to validate the validity of the proposed method, we compared it with other methods respectively based on information gain and mutual information while support vector machine is adopted as the classifier. In this paper, 6 subexperiments are conducted by combining different feature selection methods with 2 kinds of candidate feature sets. Under 1006 review documents of cars, the experimental results indicate that the Fishers discriminant ratio based on word frequency estimation has the best performance with F value 83.3% while the candidate features are the words which appear in both positive and negative texts. Â© 2009 Springer-Verlag.;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);Conference Paper;http://www.scopus.com/inward/record.url?eid=2-s2.0-71549166990&partnerID=40&md5=8085c64beaf0dd310c382eb88a79f199;5854 LNCS;88-97;10.1007/978-3-642-05250-7_10;NULO;Excluir
1014;A FEATURE SELECTION METHOD BASED ON IMPROVED FISHERS DISCRIMINANT RATIO FOR TEXT SENTIMENT CLASSIFICATION;SCOPUS;SCOPUS;Wang, S.a  b  and Li, D.b  c  and Song, X.a  and Wei, Y.d  and Li, H.a;2011;Owing to its openness, virtualization and sharing criterion, the Internet has been rapidly becoming a platform for people to express their opinion, attitude, feeling and emotion. As the subjectivity texts are often too many for people to go through, how to automatically classify them into different sentiment orientation categories (e.g. positive/negative) has become an important research problem. In this paper, based on Fishers discriminant ratio, an effective feature selection method is proposed for subjectivity text sentiment classification. In order to validate the proposed method, we compared it with the method based on Information Gain while Support Vector Machine is adopted as the classifier. Two experiments are conducted by combining different feature selection methods with two kinds of candidate feature sets. Under 2739 subjectivity documents of COAE2008s and 1006 car-related subjectivity documents, the experimental results indicate that the Fishers discriminant ratio based on word frequency estimation has the best performance respectively with accuracy 86.61% and 82.80% under two corpus while the candidate features are the words which appear in both positive and negative texts. Â© 2011 Elsevier Ltd. All rights reserved.;Expert Systems with Applications;Article;http://www.scopus.com/inward/record.url?eid=2-s2.0-79952444436&partnerID=40&md5=1230e410a26fa109eb0daf976bef1052;38;8696-8702;10.1016/j.eswa.2011.01.077;NULO;Excluir
1015;A FRAMEWORK OF PREPARING CORPORA FROM SOCIAL NETWORK SITES FOR SENTIMENT ANALYSIS;SCOPUS;SCOPUS;Medhat, W.a  and Yousef, A.H.b  and Korashy, H.b;2015;This paper proposes a framework for preparing and using corpora from online social networks and review sites for sentiment analysis task. The framework consists of three phases. The first phase is the preprocessing and cleaning of data collected, then data annotation. The second phase is applying various text processing techniques including: removing stopwords, replacing the negation words and the following negated words with the antonyms of the negated words, and using selective words of part-of-speech tags (adjectives and verbs) on the prepared corpora. The third phase is text classification using NaÃ¯ve Bayes and Decision Tree classifiers and two feature selection approaches, unigrams and bigrams. The experiments show that the data is extremely unbalanced. The results show that applying text processing techniques improve the classification accuracy of the NaÃ¯ve Bayes classifier and reduce the training time of both classifiers. The results also show that Decision tree classifier is more suitable for imbalance data.;International Conference on Information Society, i-Society 2014;Conference Paper;http://www.scopus.com/inward/record.url?eid=2-s2.0-84923163744&partnerID=40&md5=41519856be572bc92cffd6107b57c08d;NULO;32-39;10.1109/i-Society.2014.7009006;NULO;Excluir
1016;A FRAMEWORK TO ANSWER QUESTIONS OF OPINION TYPE;IEEE_B;IEEE;Xiangdong Su and Guanglai Gao and Yu Tian;2010;In this paper, we propose a framework to answer questions of opinion type. The data source is the web pages returned from the search engine. By using Bayes Classifier, the main texts on the pages are classified into three categories at sentence level: positive review, negative review and neutral review. K-means method is used to cluster the sentences of positive review and negative review respectively. The final answers are extracted from the sentence groups after clustering and presented in the form of quaternion. We design a system to test this framework. The experimental results show that it is effective.;Web Information Systems and Applications Conference (WISA), 2010 7th;NULO;NULO;NULO;166-169;10.1109/WISA.2010.22;NULO;Excluir
1017;A FUZZY CONCEPTUALIZATION MODEL FOR TEXT MINING WITH APPLICATION IN OPINION POLARITY CLASSIFICATION;SCOPUS;SCOPUS;Li, S.-T.a  b  and Tsai, F.-C.a;2013;Automatic text classification in text mining is a critical technique to manage huge collections of documents. However, most existing document classification algorithms are easily affected by ambiguous terms. The ability to disambiguate for a classifier is thus as important as the ability to classify accurately. In this paper, we propose a novel classification framework based on fuzzy formal concept analysis to conceptualize documents into a more abstract form of concepts, and use these as the training examples to alleviate the arbitrary outcomes caused by ambiguous terms. The proposed model is evaluated on a benchmark testbed and two opinion polarity datasets. The experimental results indicate superior performance in all datasets. Applying concept analysis to opinion polarity classification is a leading endeavor in the disambiguation of Web 2.0 contents, and the approach presented in this paper offers significant improvements on current methods. The results of the proposed model reveal its ability to decrease the sensitivity to noise, as well as its adaptability in cross domain applications. Â© 2012 Elsevier B.V. All rights reserved.;Knowledge-Based Systems;Article;http://www.scopus.com/inward/record.url?eid=2-s2.0-84871924091&partnerID=40&md5=5405082b766c690034788622e72af0bc;39;23-33;10.1016/j.knosys.2012.10.005;NULO;Excluir
1018;A FUZZY DOMAIN SENTIMENT ONTOLOGY BASED OPINION MINING APPROACH FOR CHINESE ONLINE PRODUCT REVIEWS;SCOPUS;SCOPUS;Wang, H.a  and Nie, X.a  and Liu, L.a  and Lu, J.b;2013;Online product reviews have become an important opinion resource which many researchers pay their attention to. In this paper, a novel method of opinion mining is proposed and evaluated by a collection of real online product reviews. A hierarchical fuzzy domain sentiment ontology-FDSO has been introduced by this approach, which defines a space of product features and corresponding opinions, thus makes it possible for a product to be classified and scored by commonly accepted features. Therefore enhance the user experience to search a product and compare it with other products feature by feature. The evaluation is based on the Chinese product reviews collected from 360buy.com. The experimental results show that our approach is able to automatically identify the polarity for a large of sentiment expressions. Â© 2013 ACADEMY PUBLISHER.;Journal of Computers (Finland);Article;http://www.scopus.com/inward/record.url?eid=2-s2.0-84883696165&partnerID=40&md5=70c242d3e31ed75846f8ff95be2802c5;8;2225-2231;10.4304/jcp.8.9.2225-2231;NULO;Excluir
1019;A GENERATE-AND-TEST METHOD OF DETECTING NEGATIVE-SENTIMENT SENTENCES;SCOPUS;SCOPUS;Choi, Y.a  and Oh, H.-J.b  and Myaeng, S.-H.a;2012;Sentiment analysis requires human efforts to construct clue lexicons and/or annotations for machine learning, which are considered domain-dependent. This paper presents a sentiment analysis method where clues are learned automatically with a minimum training data at a sentence level. The main strategy is to learn and weight sentiment-revealing clues by first generating a maximal set of candidates from the annotated sentences for maximum recall and learning a classifier using linguistically-motivated composite features at a later stage for higher precision. The proposed method is geared toward detecting negative sentiment sentences as they are not appropriate for suggesting contextual ads. We show how clue-based sentiment analysis can be done without having to assume availability of a separately constructed clue lexicon. Our experimental work with both Korean and English news corpora shows that the proposed method outperforms word-feature based SVM classifiers. The result is especially encouraging because this relatively simple method can be used for documents in new domains and time periods for which sentiment clues may vary. Â© 2012 Springer-Verlag.;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);Conference Paper;http://www.scopus.com/inward/record.url?eid=2-s2.0-84858324606&partnerID=40&md5=d5be36feed0af66f3dddd2a225514009;7181 LNCS;500-512;10.1007/978-3-642-28604-9_41;NULO;Excluir
1020;A GRAMMATICAL DEPENDENCY IMPROVED CRF LEARNING APPROACH FOR INTEGRATED PRODUCT EXTRACTION;IEEE_A;IEEE;Hui Song and Yan Yan and Xiaoqiang Liu;2012;The aspect-based opinion mining aims to provide finegrained product feature analysis from the product reviews. Nowadays, newer works based on probabilistic models have achieved satisfactory result on product entities extraction, but these works didnt take the multi-words feature expression problems into consideration which lead to inaccurate match between the feature and the sentimental orientation. In this paper, we propose an approach, based CRF learning model, to extract integrated feature expression from Chinese product reviews, and improve it by grammatical dependency generated by Stanford Parser. The experiment results based on actual data, demonstrate that the proposed approach is effective and domain-independent. Also we find introducing grammatical dependency into CRF model can improve the precision and recall in varying degrees.;Computer Science and Network Technology (ICCSNT), 2012 2nd International Conference on;NULO;NULO;NULO;1787-1794;10.1109/ICCSNT.2012.6526267;NULO;Excluir
1021;A GRAPHICAL USER INTERFACE FOR FEATURE-BASED OPINION MINING;ACM;ACM;Filho, Pedro Balage and Brun, Caroline and Rondeau, Gilbert;2012;In this paper, we present XOpin, a graphical user interface that have been developed to provide a smart access to the results of a feature-based opinion detection system, build on top of a parser.;Proceedings of the 2012 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies: Demonstration Session;NULO;http://dl.acm.org/citation.cfm?id=2386856.2386858;NULO;5--8;NULO;978-1-937284-20-6;Incluir
1022;A LEXICONIZING FRAMEWORK OF FEATURE-BASED OPINION MINING IN TOURISM INDUSTRY;IEEE_A;IEEE;Muangon, A. and Thammaboosadee, S. and Haruechaiyasak, C.;2014;Among of the travel agency business in Thailand, Agoda (www.agoda.com) has boomed in recent years with the number of online agents offering for hotels booking. When customers need to make decision, they typically explore by investigating the opinions attached with each hotel in online agent. This paper proposes a framework of feature-based opinion mining by using scores which essentially relies on the usage of two main lexiconizing levels, features and polar words. An approach for extracting features and polar words from textual opinion is based on syntactic pattern analysis. The evaluation is performed with existing opinions and compared the statistical resulted scores with the existing scores of each hotel. The proposed scoring method is proven for the effectiveness of the score from Agoda and could facilitate the further text retrieval application development for the benefit of automatic customers opinion detection.;Digital Information and Communication Technology and its Applications (DICTAP), 2014 Fourth International Conference on;NULO;NULO;NULO;169-173;10.1109/DICTAP.2014.6821677;NULO;Incluir
1023;A LIGHTWEIGHT ALGORITHM FOR AUTOMATED FORUM INFORMATION PROCESSING;IEEE_B;IEEE;Wee Yong Lim and Sachan, A. and Thing, V.L.L.;2013;The vast variety of information on Web forums makes them a valuable resource for various purposes such as scam detection, national security protection and sentiment analysis. However, it is challenging to extract useful information from Web forums accurately and efficiently. First, several page types exist in Web forums and content is presented in different formats in these pages. Second, the content on the forum pages is stored in the form of data blocks. For the information to be meaningful, it is necessary to extract the relevant data blocks separately. The main problem with generic content extraction systems is that they cannot distinguish among various pages nor extract information with the required granularity. Although, several content extraction methods exist for Web forums, these methods either do not satisfy the above requirements or use heuristics based approaches (such as assumptions on standard visual appearances, etc., resulting in limited applicability to different varieties of forum). In this paper, we propose a general and efficient content extraction method using the properties of links present in forum pages. The effectiveness of our proposed method is shown through our experimental results.;Web Intelligence (WI) and Intelligent Agent Technologies (IAT), 2013 IEEE/WIC/ACM International Joint Conferences on;NULO;NULO;1;121-126;10.1109/WI-IAT.2013.18;NULO;Excluir
1024;A LOGIC PROGRAMMING APPROACH TO ASPECT EXTRACTION IN OPINION MINING;SCOPUS;SCOPUS;Liu, Q.a  b  and Gao, Z.a  b  and Liu, B.c  and Zhang, Y.d;2013;Aspect extraction aims to extract fine-grained opinion targets from opinion texts. Recent work has shown that the syntactical approach performs well. In this paper, we show that Logic Programming, particularly Answer Set Programming (ASP), can be used to elegantly and efficiently implement the key components of syntax based aspect extraction. Specifically, the well known double propagation (DP) method is implemented using 8 ASP rules that naturally model all key ideas in the DP method. Our experiment on a widely used data set also shows that the ASP implementation is much faster than a Java-based implementation. Syntactical approach has its limitation too. To further improve the performance of syntactical approach, we identify a set of general words from WordNet that have little chance to be an aspect and prune them when extracting aspects. The concept of general words and their pruning are concisely captured by 10 new ASP rules, and a natural extension of the 8 rules for the original DP method. Experimental results show a major improvement in precision with almost no drop in recall compared with those reported in the existing work on a typical benchmark data set. Logic Programming provides a convenient and effective tool to encode and thus test knowledge needed to improve the aspect extraction methods so that the researchers can focus on the identification and discovery of new knowledge to improve aspect extraction. Â© 2013 IEEE.;Proceedings - 2013 IEEE/WIC/ACM International Conference on Web Intelligence, WI 2013;Conference Paper;http://www.scopus.com/inward/record.url?eid=2-s2.0-84893255187&partnerID=40&md5=d8b09a43ae02cda0f866f32c459a0f9b;1;276-283;10.1109/WI-IAT.2013.40;NULO;Incluir
1025;A METHOD FOR OPINION MINING OF PRODUCT REVIEWS USING ASSOCIATION RULES;SCOPUS;SCOPUS;Kim, W.Y.a  and Kim, K.I.b  and Ryu, J.S.a  and Kim, U.M.c;2009;When most people buy the products, they inquire about other peoples opinion and refer to recommended product. Today, the result of explosive development of the Web makes it easy to consult other peoples opinion information. These variety of opinion data are not only useful to customers, but also manufacturers. As a result, opinion mining research to analyze opinion data on the web has become a popular topic recently. In this paper, we proposed opinion mining method for product reviews. In our approach, we first do POS tagging on each review sentence, and we extract feature and opinion words in form of transaction data. Then we discover association rules of needed type from the transaction data, and provide information that is summarized advantages and disadvantages using PMI-IR algorithm. Copyright Â© 2009 ACM.;ACM International Conference Proceeding Series;Conference Paper;http://www.scopus.com/inward/record.url?eid=2-s2.0-74949090782&partnerID=40&md5=fae860b69637cd4bb0cfa454b4cb4c40;403;270-274;10.1145/1655925.1655973;NULO;Incluir
1026;A METHOD OF FEATURE SELECTION AND SENTIMENT SIMILARITY FOR CHINESE MICRO-BLOGS;SCOPUS;SCOPUS;Yang, D.-H. and Yu, G.;2013;Sentiment analysis of messages posted on micro-blogs is helpful in determining the current usefulness and acceptability of target products or services. It is the basis for finding users with similar attitudes. In this paper, we propose a new sentiment similarity technique to analyse Chinese micro-blog accounts. However, the Chinese text features have not been well studied. Therefore, we first chose four types of feature sets and selected principle features by combining information gain and support vector machine techniques. Next, we compared the four types of features to determine which type of feature contributed more than others. Here we used three classification techniques: decision tree, support vector machines and naive Bayes. Finally, we used Karhunen-LoÃ©ve transform technique and average precision between positive and negative features to measure sentiment similarity. Experiment evaluations demonstrated that this new method is efficient and performs better than original average distance for Chinese micro-blogs. Â© 2013 The Author(s).;Journal of Information Science;Article;http://www.scopus.com/inward/record.url?eid=2-s2.0-84880665637&partnerID=40&md5=973fb56d2b62979020ff81764250ad67;39;429-441;10.1177/0165551513480308;NULO;Excluir
